lat,lon,lang
43.54984144,-116.57154484,en
36.41647534,-5.157266,und
24.6755699,46.8685218,ar
-6.2052062,106.7843362,id
25.65220406,-100.28644323,es
-22.2441411,-43.70135244,pt
-6.1463193,106.7772794,id
29.389999,48.003524,ar
-6.0806701,-49.889488,pt
51.39205613,-1.30715295,en
35.796726,139.784143,ja
-7.56600553,110.80764627,en
29.66376877,-95.22133735,en
21.00707615,-89.5741634,es
-5.40707,105.25291,id
-5.26316,105.18507,und
-23.58302397,-46.72886207,pt
-6.3937973,106.8881141,id
-6.3167553,107.1433732,id
-0.90423,119.88226,id
9.0748592,7.46623638,en
39.64678787,-77.69767565,ht
37.65630781,-107.81262341,en
50.72520489,-1.15645785,en
41.0048936,28.7046222,tr
-7.56381,110.80696,en
41.3516989,-72.0756271,en
-31.90004179,115.84527299,en
40.46341381,-90.6873889,en
42.6185591,-83.08193625,en
30.183886,-98.00646,en
42.45766942,-73.22628638,lv
-6.90795,107.634,sk
48.95081474,2.44519845,fr
34.52099976,-88.98608392,en
29.62118764,-95.40317298,en
-7.57139,110.83161,en
33.8079849,-117.91896779,en
34.67382622,-80.72699749,en
-6.94556,107.74943,id
59.30049597,18.05161511,sv
40.7979914,29.3938117,tr
0.0,0.0,id
32.54207949,-97.31191699,pt
9.7154327,-63.1942377,es
-6.870338,107.5933911,id
-7.36837172,112.72966902,vi
21.43228551,39.29598245,ar
31.29163878,-93.97325748,en
-23.7409296,-46.5809282,pt
34.04706369,-117.31402357,en
29.389999,48.003524,ar
-29.01054239,-51.19042271,pt
41.6456016,-83.5150345,en
42.27528663,-85.61991401,en
-4.8965949,105.0337225,id
-6.7383,106.82695,en
-6.3223607,106.9648991,en
39.56506371,-76.367872,en
42.52869066,-83.16004297,en
-7.7576522,110.3650306,id
-26.0249794,-50.8057613,fi
37.74258825,-87.13507885,en
-1.4552858,-48.47744385,pt
9.95792506,-84.01551677,es
-6.55769,107.42718,id
-6.9410346,107.7550736,id
39.00831143,-77.37174527,en
-23.57191642,-46.5136293,pt
24.55298387,46.77803678,ar
-6.23396053,106.95599893,id
41.64478119,-83.5648362,en
7.745665,-72.226815,es
37.598872,-122.047671,es
44.01742405,-88.585639,en
36.05694023,-79.82545853,en
34.98252983,-101.92475032,en
29.389999,48.003524,ar
-7.26888,112.7418,id
56.83484779,53.21083728,ru
3.35135287,101.7907387,en
43.7290447,7.27493355,es
41.1052691,-74.3640082,en
41.0347421,28.97794247,tr
-6.32564,106.74705,id
-7.7133574,109.0116775,id
55.96220253,37.40567539,ru
40.43611424,-79.96908277,en
52.45803338,-2.14818386,en
44.22685611,-95.01142812,und
51.62403162,-0.78671646,en
33.9249928,-116.88677586,en
0.4720221,121.9435271,id
-23.60999149,-46.75306091,pt
40.08418456,-82.89849091,en
30.61298943,-96.33583832,en
48.81993372,2.25210796,fr
40.4613944,-3.44488253,es
29.389999,48.003524,ar
54.06547757,-2.81231579,en
-19.9163206,-43.9003857,pt
-3.21598,104.65387,id
-7.2170682,107.9033355,id
40.17641634,-5.82938158,es
40.07408631,-75.285931,en
-5.08734011,-42.80467882,id
36.4180269,140.3123718,ja
38.3937182,-121.3694161,en
35.63602033,-106.72327666,en
14.61727195,120.97777724,en
37.6678199,-1.703087,es
-6.98143,109.70361,id
-9.1062514,124.8892605,id
38.89999498,-77.0085174,en
20.52257744,-100.41564826,es
-34.5798095,-58.5002721,es
38.8804299,-6.9714463,es
44.97503671,-93.25304092,en
41.00099,28.86199,tr
-6.3512927,106.8745009,tr
42.01404321,-72.76846774,en
-23.5977826,-46.4485611,pt
-6.3523339,108.2854526,id
42.09760092,-71.08812989,en
40.4978076,-3.713681,es
0.91518,108.9963106,tl
40.44013155,-3.81022415,es
43.37405,-8.39495,es
43.14754666,-87.9383206,en
18.17974629,-76.42623988,en
14.6303257,-61.0617596,fr
51.53145597,-0.26028011,en
-7.02575105,110.52242406,id
-0.92027772,100.36420083,id
38.7405274,-77.1144193,en
29.389999,48.003524,ar
-6.16773,106.78786,id
35.23914244,-80.85957348,id
41.93741468,-88.77961502,en
14.63523176,121.08767083,en
34.00400571,-118.45302374,en
25.70525884,-80.41266637,en
-23.204104,-45.908702,pt
29.389999,48.003524,ar
41.01702957,-85.18521973,en
-26.11892492,-49.78674791,pt
25.65220406,-100.28644323,es
39.65284452,-78.92835293,en
-2.13044454,-79.86739611,es
41.1551943,28.1688788,tr
-20.73969257,-48.90944313,ht
-6.2551689,106.8636696,id
-5.1241,119.41291,id
36.1585479,-115.2322034,en
36.5029972,-77.74663414,en
49.1133988,6.8481079,fr
1.45469,124.84219,id
3.3809738,-76.5238124,es
34.10371186,-117.90619612,en
-8.70362,115.22701,id
40.958679,28.829562,tr
33.8630513,-91.02430386,und
37.0793496,-76.4735043,en
40.4488936,-3.7082922,es
-8.0544515,-34.8825501,pt
18.26317195,-70.29664836,fr
41.05257404,29.03424596,tr
53.38774884,-2.74347757,nl
19.6639872,-71.4172264,fi
42.63212495,-71.30771679,en
39.42197269,-76.31103876,en
-6.9041876,109.408344,id
33.95416439,-118.29794683,en
41.64477699,-83.56484567,en
42.0861848,-71.2715163,en
-6.887,107.60996,en
29.28937926,48.01773206,ar
43.69525625,10.83631917,it
35.90479843,-78.94483566,en
33.9427208,-84.09756604,en
41.4693858,-90.4856724,en
13.7678896,121.0311355,tl
59.9083877,10.7212275,en
29.86575518,-89.87892563,en
39.65148625,-79.95086839,en
41.47297971,-4.59300017,es
-28.46064862,-48.98049038,pt
-1.43464624,-48.4667001,it
39.1550938,-0.3373894,es
26.47492895,50.01200943,ar
39.2902866,-84.51250892,en
-35.9807337,-62.7342412,es
5.30357234,-3.96461088,fr
13.76930648,100.64270278,th
41.04343146,-74.78253246,en
29.59264581,-98.6974026,en
34.48743452,-87.28265858,en
14.09175833,-60.94787518,en
-33.4181172,-70.60700655,es
39.29283604,-76.63973249,en
-22.88986646,-43.29593631,pt
-7.56573,110.80999,tl
39.9443277,-75.01800986,en
29.77147602,-95.03963158,en
40.86435005,-3.61657598,es
39.4921829,-84.3201532,en
39.67777836,-105.17111267,en
51.42388616,0.34807948,en
39.04874948,-94.48388011,en
19.16338265,-96.12538403,es
45.52912123,-73.58500196,en
-23.6663814,-46.5771612,pt
38.2356363,-6.2942248,es
29.389999,48.003524,ar
13.647509,100.41914821,id
38.30234706,-104.58146345,vi
32.67999908,-117.10682949,en
-23.01262236,-43.51192947,pt
-23.7337647,-46.5889004,pt
25.75075015,-80.44627626,en
14.10365323,-87.19440558,en
34.3528083,-89.5301285,en
28.37203107,-81.55878782,en
14.5597444,121.0831298,en
5.08571271,-75.52786315,es
-6.46164,106.80013,id
39.97822189,-75.15634155,no
40.60528585,-112.0090569,en
2.2505501,102.2588731,id
41.8979198,-70.90862884,en
1.29867,124.90615,pt
32.48085107,-84.88399937,en
52.24506584,5.36658681,nl
15.68798,-88.61707,es
29.389999,48.003524,ar
37.4116567,-5.9847661,es
36.05262085,-79.73117556,en
-6.2246096,106.7845749,id
-6.3097195,106.6966125,id
36.14333217,-86.7738213,en
29.43761534,-98.65225752,en
-15.73454032,-47.89348612,pt
29.389999,48.003524,ar
3.58333889,98.69541889,id
7.1282604,125.6223994,en
32.89704282,-97.03091359,en
40.33060494,-76.01883275,en
-6.19572,106.82366,id
41.52438924,-87.80263136,en
25.27759,51.44921,ar
-37.2473232,-73.3398287,es
29.0905115,-110.9776282,en
36.17138227,-115.1469326,ru
-42.879693,147.324322,en
35.64333684,-97.47744225,en
-22.70722441,-43.55926703,pt
55.75182619,-4.20815208,en
-23.57801819,-46.55204072,pt
32.74017336,-116.94070785,en
-29.7775603,-50.03392785,pt
15.18516,120.5820084,vi
45.47619664,4.51672837,vi
41.97077637,-91.68109632,en
34.60235707,135.70322487,ja
40.09726709,-75.01216964,en
45.51963909,-122.67080784,en
41.077111,28.8898773,tr
35.6539573,-0.59321639,fr
40.7736842,-87.55985096,en
8.47690005,124.64603079,tl
29.389999,48.003524,ar
39.94929963,-75.1647815,en
41.11760888,-73.78586477,en
51.47612372,-0.01362705,en
29.389999,48.003524,ar
54.69365232,-5.94735995,tl
38.40042533,27.15073527,tr
9.71308,-63.25133,es
36.88597881,-76.12990157,en
-23.1641264,-45.7896511,pt
53.42271846,-1.24584443,en
7.90896,-72.47247,es
40.93290569,-80.12467484,und
-7.4304837,111.0054951,id
10.9263543,-74.8060635,es
-23.5658863,-46.6180245,pt
9.9500461,-84.1920956,es
50.5462374,-4.8292852,en
30.5494248,-97.55480479,en
35.73900133,139.39928619,ja
18.14942291,-66.10751451,es
14.95498358,102.12130616,th
33.69331541,-78.94208849,en
-23.5451679,-47.44605397,pt
-23.67805446,-46.7121576,und
48.75111111,1.7575,et
37.99977741,-121.85959834,en
-19.94178781,-43.92050262,es
39.15928288,-76.72310829,en
34.64919316,-112.32739969,en
37.6176454,-122.3901395,en
26.2279206,-98.3888377,en
31.97632545,34.77397366,he
32.27623218,-94.9758133,en
-27.5802895,-48.6214601,pt
33.94293412,-118.39748787,en
-34.5097095,-58.6980705,es
-6.67427,106.92821,ja
29.7785392,-95.42587153,en
-6.85919,107.92014,de
-7.26888,112.7418,id
-21.3623397,-45.4976945,pt
50.84134329,-4.52027589,en
-30.99485931,-54.66983545,en
39.9581422,-75.17279148,en
-30.89759887,-55.52027493,pt
-5.14091,119.4784,vi
41.881293,-87.62611903,en
2.18389878,102.30482286,en
59.85644284,17.64191874,sv
34.1083195,-117.8472296,en
29.389999,48.003524,ar
40.2513986,-75.6389434,en
-29.70249086,-51.12582307,pt
-27.60890331,-48.5335207,pt
20.62800601,-87.07479774,es
-8.6238276,115.1706987,id
-3.1299431,-59.99016248,pt
18.4875445,-69.9880656,es
-6.3074249,106.7042994,id
44.9617801,-93.2939981,en
19.20022552,-96.16961609,es
36.29634061,139.79676107,ja
38.83036601,-77.05125584,en
-7.5900619,110.9480317,id
5.667136,-0.0203179,en
52.252135,-1.377512,en
36.86810754,-76.29820967,en
-2.1980633,113.9044686,id
-2.96854,104.73828,id
-1.4346407,-48.46664128,en
56.71028879,-2.46900373,en
-7.83973833,111.248655,id
44.517286,8.978909,it
21.02991773,-89.6399832,it
41.31164916,-81.72357403,en
-22.8721718,-46.963384,pt
0.55676,123.06629,en
53.33934992,-6.42089123,en
51.8591041,-2.2329628,et
35.66462969,139.85899019,ja
-23.48614419,-47.49903359,pt
-6.30265995,106.89901502,id
29.389999,48.003524,ar
-6.968328,107.5870579,vi
4.57548363,101.12848103,en
36.5146296,32.0816809,en
4.6295325,-74.1314498,es
32.72341488,-117.06952241,en
-8.6938887,115.2187125,id
38.40539365,-121.33835587,en
-22.9471375,-43.5846704,pt
-1.44397714,-48.46615217,es
43.07636686,-75.22672435,en
29.389999,48.003524,ar
27.08995002,-109.44192756,es
41.01049888,29.13232102,tr
-6.9200554,107.625605,id
11.226369,-74.214487,es
-15.72090306,-47.88526297,en
14.66912084,120.54370738,en
42.3410403,-71.09054179,en
-22.426767,-43.1281057,pt
-26.82159487,-65.2652145,es
43.370404,-5.8357595,es
-1.63096,103.63837,tl
37.9609652,29.1016622,tr
29.389999,48.003524,ar
26.2451151,-97.7290537,en
-3.09765593,-60.06746067,pt
-7.21402,112.76147,en
40.75556337,-73.97051023,sv
40.71920313,-73.97622242,en
4.74890125,-74.1036506,es
29.74758776,-95.39171329,en
39.7725837,-84.04926275,en
-7.7837977,110.3827082,id
4.4405503,100.9971554,id
57.36435029,-2.07235289,en
29.389999,48.003524,ar
-16.61727389,-49.21026165,en
34.05667994,-84.60501483,en
32.9082305,-84.2869411,en
35.18287679,-97.54721968,en
-2.12887204,-79.88827066,es
30.50696183,-97.62503284,en
51.64177574,4.82715111,en
38.4526151,-121.84297697,und
5.93700746,116.10610555,en
35.60743936,139.6686998,ja
34.94259507,-80.97503974,en
24.6247875,46.5445079,ar
45.0728234,-93.24682885,tl
16.70151355,-99.67088031,en
-20.34044969,-40.32750156,pt
-23.56260632,-46.69004348,pt
40.86909668,-74.07075777,en
2.97425911,101.57909827,en
40.55892579,-80.0154248,en
-8.35924,114.6276,id
29.96385276,32.54439257,ar
-23.5581935,-51.4470701,pt
41.1571324,-85.17378819,en
32.2213863,-81.05126957,en
-8.50667,115.21291,tl
40.813759,-73.9434593,en
1.84915828,-76.05043027,es
37.78052355,-3.79698167,es
-1.22799,116.84342,id
-7.80826451,110.3914395,tr
-33.39056701,-70.5453372,en
38.83290276,-97.59074681,en
-8.65372033,115.22294484,id
34.05440243,-77.89337193,en
-8.63587377,115.23948964,id
30.9799612,31.1764862,ar
41.07382524,-87.80419769,en
48.73543383,2.4088679,fr
29.198224,48.064439,fi
32.7086974,-117.14880866,en
45.26034338,19.84140893,en
36.51176479,-119.56626433,en
35.31092315,-98.34514651,en
38.0602207,-97.89251704,en
-8.73989554,-63.8887596,pt
27.91543599,-82.22818019,en
41.9658298,-88.18699024,en
29.389999,48.003524,ar
4.7388001,-74.0390096,en
55.91266879,-3.15690257,pl
29.77500011,-95.75272358,en
-22.87381575,-43.77758757,pt
17.0503885,42.633783,ar
47.32254922,5.04747655,it
41.9363284,-87.7622792,en
-18.412456,-40.21092,pt
30.05684883,-94.78192121,en
51.53628293,-0.10173233,en
34.17785605,-118.36121194,en
32.91789069,-97.24541568,en
-8.62558,115.22049,id
27.94403404,-81.9655413,und
-7.53994,110.80355,en
41.33717655,-89.09167719,en
38.67735873,-121.3402372,en
28.76943307,-81.28017924,en
19.33896479,-98.20154973,es
29.389999,48.003524,ar
-23.49743091,-46.69967184,pt
42.27502252,-78.67285967,en
29.33205654,48.07902331,en
29.52238517,-98.43714612,en
4.54078,-75.69746,es
-0.50025,117.12571,id
14.58829468,121.02777625,tr
29.389999,48.003524,ar
-1.2404022,116.8300239,id
42.07520442,-80.14327129,en
51.76228412,0.14669155,en
29.389999,48.003524,ar
34.0726654,-118.34396044,en
51.56522641,-0.10527134,en
18.2273874,42.5898233,ar
39.56707181,-0.33357563,es
47.24524844,-122.29987849,en
53.7595479,-2.4718509,en
37.75833333,140.47,ja
34.69527529,135.49609551,ja
35.875,139.58666667,ja
18.34451425,-66.09348845,es
33.98505606,-84.01181809,en
42.00568723,-80.14332268,en
47.665883,-122.382712,en
-5.08475867,105.356974,id
53.77619335,-2.37767,en
29.9581941,-90.06582812,en
40.83333686,-74.21333141,en
50.63419733,-1.17703534,en
-6.9068896,107.6916288,en
7.0747361,-73.8513381,es
29.3358585,47.9971201,en
-22.9128842,-43.2662513,pt
45.26047648,19.84162308,sl
10.42557,-75.5434,es
-29.1873298,-51.2039141,pt
18.3724554,-65.9532242,es
29.389999,48.003524,ar
-6.3140722,107.1626584,id
38.73590963,-9.20878441,pt
34.15405974,-118.47396051,en
48.9291221,2.3810659,fr
29.389999,48.003524,ar
39.34236812,-85.48641731,en
40.52009186,-74.35668245,en
-22.9129,-43.2139,da
10.97228,-74.80956,es
40.90371648,-90.40897986,en
34.15691,-116.498908,en
-7.9567384,112.614453,id
40.77550433,-73.90962124,en
40.13446278,-75.51143646,en
-23.613874,-46.6583714,pt
40.38726609,-78.67742236,et
33.73931345,-117.95718939,en
29.389999,48.003524,ar
25.69330424,-80.45188442,en
44.6471015,-0.3426806,fr
40.81445653,-73.84336202,en
17.7653502,-92.59695333,es
14.53666258,121.14520469,tl
-4.35771427,119.88876684,id
43.00990226,-78.78554848,en
39.99456807,-74.76365006,en
42.09917684,-88.32007086,vi
37.3246527,-6.8279964,es
5.2848302,-3.9844851,fr
-31.55127,-61.08153,es
-6.20101,106.8065,id
36.74074601,137.02215578,ja
18.26868607,-65.87755005,es
-22.7298522,-43.692479,tl
29.389999,48.003524,ar
7.4275722,125.8232992,tl
35.82740248,-78.83776865,en
36.62688321,-81.97440318,en
18.02378,-92.89673,es
51.53251557,0.01169929,en
33.19877676,-97.12737226,en
36.5591684,139.8977118,ja
-7.7579068,112.1989729,id
51.7918675,0.6301891,nl
35.9751019,-78.9123185,en
42.93271793,-3.48993448,es
10.4556177,-66.6131199,en
40.01648838,-87.11339459,en
-27.58846267,-48.55182571,pt
-23.00179657,-44.30076234,pt
37.6919517,-6.5980174,es
-33.4429109,-70.61638331,es
38.21314268,-85.76875073,en
0.52733,101.44683,id
1.5165004,124.913121,fi
26.237564,-80.2196372,de
43.132797,-9.1870322,es
-1.42217951,-48.45640364,en
29.389999,48.003524,ar
33.46598357,-82.07299378,en
-7.1247474,-34.9384205,pt
38.4883522,27.0537882,tr
-22.9013639,-43.2937536,pt
10.42032117,-75.53590098,es
45.4460569,9.2483229,tl
-6.93526,107.71574,id
14.5152368,121.0458478,en
-34.4855938,-58.6689645,es
35.38935703,-80.49975761,en
44.58729835,-123.25234284,en
40.6189845,-73.7299967,en
39.9601959,-75.6028046,en
29.31257752,-98.9249775,en
33.907691,-84.430206,tr
39.9929427,-0.0360578,es
-27.60233234,-48.46557398,sl
40.2064845,29.0277824,tr
53.39865911,-2.95780172,en
37.76960165,29.07659591,tr
43.5204442,-79.6208393,en
-6.97852,108.47313,id
33.727089,-116.40242977,en
-5.3591115,105.304711,id
-8.66095,115.17771,id
-6.26871,106.80028,pt
46.27777079,-96.05833427,en
39.94880477,-75.60205263,en
53.62190419,-2.21288071,en
41.82287375,-72.88333161,en
-6.28378,106.92033,en
44.91367465,-89.65009678,en
3.4462712,-76.5218481,es
29.51055847,-98.53531176,en
-6.15833,106.574065,id
30.08890153,-90.47889068,en
3.60770733,98.68675867,id
36.05800652,-80.14124313,fr
40.86906674,-74.07066283,en
-22.93566706,-43.32938511,pt
42.8494313,-2.6667732,es
42.7273042,-84.4747208,en
-3.0179307,104.7911708,id
-27.0471265,-48.8670227,pt
-33.50165018,-70.61377153,es
48.7819477,1.98384542,fr
33.85416166,-111.84299307,en
18.23777243,42.76155145,ar
29.389999,48.003524,ar
45.470819,-122.688382,en
-6.28977,107.15446,id
29.389999,48.003524,ar
-8.80241,115.23635,id
33.47935445,-111.69386395,en
-10.98759394,-37.04814315,pt
36.7323,-76.3116,en
0.0,0.0,th
39.14679709,-123.1903038,en
15.01255,120.70648,en
-23.55678072,-46.77614318,pt
14.5786323,121.0259273,pl
26.20479574,-98.19961214,en
-7.82987,110.39115,id
51.17527127,-0.12207283,en
41.8862418,-91.0400188,en
33.94680082,-84.11385222,en
40.82584012,-73.61873449,en
43.38263622,-3.2221304,es
29.389999,48.003524,ar
34.04101311,-118.00093826,en
52.83470471,-6.94624965,en
40.28736135,-74.07893738,en
41.4355491,-81.8993202,en
0.0,0.0,id
14.4266817,121.0403276,tl
42.13996954,-72.46384598,pl
39.85218704,-82.88673878,da
5.4072021,100.4601666,id
-2.97686438,104.75616956,id
30.29708957,-97.71816355,en
-33.0230301,-71.5485403,es
32.7136648,-97.0768746,en
29.389999,48.003524,ar
43.242518,-79.83288238,en
-23.3750165,-46.7543728,und
-22.9052728,-43.18064475,pt
42.28547803,-71.41141994,en
-0.49655,117.13366,id
29.389999,48.003524,ar
39.3934572,-0.4132147,es
-7.3699533,108.2149316,id
36.6958193,-4.4503887,es
40.43039,-3.6452461,es
20.59294269,-100.38992822,es
33.53125928,-112.25781446,en
29.98319619,-90.04774427,en
36.7474234,-3.50993585,es
-6.0557092,105.9242416,en
39.98257864,-86.12493699,de
51.47806241,-3.20295339,en
40.7971429,140.7752714,ja
53.45945946,-2.23942316,en
35.79044652,139.51337099,ja
-25.8591288,-50.3839781,pt
42.56379664,-83.01332707,en
40.71312031,-73.95752805,en
-19.0048598,-57.6045083,pt
-7.5467583,110.7925925,id
31.47666589,-97.09208233,en
51.6072258,-0.27310106,en
54.62026657,-5.9641533,en
40.95770482,-73.97311483,en
14.75122268,-17.50534048,fr
33.55494387,-117.214223,en
40.07268975,-80.7448736,en
35.77771519,139.4973147,ja
42.64331975,-71.30936737,en
31.95725357,-110.98158086,en
33.29138315,-93.23551934,en
35.77767687,139.49728902,ja
-3.0078947,104.761079,id
-0.9133659,119.8869044,id
31.28253258,-92.4137468,en
-0.89317346,119.87790448,und
10.03074086,-84.21488795,es
-34.92508509,138.59540462,en
41.65144187,-70.9484999,en
6.2680443,100.4124571,en
-6.38379,106.81257,id
33.02672143,-97.06378779,en
19.5454057,-71.0771743,es
14.90924694,104.7199935,th
31.79594,-93.20420956,en
36.63821537,-93.27152479,en
51.73562617,-1.20001716,es
-22.8721718,-46.963384,und
41.89877104,-87.63138337,en
-5.15453,119.47692,id
37.46088046,-122.23914835,en
-22.8914136,-43.3594059,en
38.592509,-90.218397,en
36.16897911,-86.80583625,und
-23.1405006,-45.7755693,pt
-0.9797052,100.3860197,id
27.3137431,-80.4013395,en
28.9715806,-13.5670202,es
-6.3234252,107.1632915,id
38.30396,-77.459904,en
43.83290863,-70.42372894,en
1.4695457,110.4217512,id
33.12891795,-85.37854599,und
41.04676402,29.00415742,tr
-6.35361,106.73397,id
37.05615966,35.306483,en
39.980572,-87.6351464,en
3.60624359,98.68588046,id
-5.21236286,119.45473,id
48.57069373,1.93718552,fr
-23.48757202,-46.61313191,en
-33.6946573,-59.67522703,es
39.4157217,-75.1434992,en
45.4158577,-122.8436776,en
35.36730858,-84.31461985,en
-3.2230496,-40.6940877,pt
-23.49831759,-46.84707642,en
38.96863239,-76.95244319,en
36.03459571,-86.78383716,en
43.95752711,-78.95934658,en
-25.34333,-57.56746,es
-22.8309933,-43.379048,pt
39.4194136,-107.1537839,en
24.8586747,-99.5792665,es
53.08634397,-1.4819777,en
-6.36787,106.82912,en
34.25673485,-79.76533612,en
-6.8661811,107.57452569,id
21.28947716,-102.26980018,es
-6.29111,106.80915,en
40.15645718,29.98263092,und
-34.6150152,-58.776366,es
28.50721008,-81.46607099,en
38.36852324,-121.95429417,en
10.67022362,-71.61685288,tl
-18.94757103,-48.23367484,pt
-6.31322,106.8105,id
-7.7843265,110.3348854,en
10.4757,-66.58067,es
38.9075914,-6.334441,es
21.62643,39.20616,ar
-6.9751703,110.4111694,id
-6.4438075,106.843571,en
41.97546803,-87.80995555,en
56.00379855,-4.73858534,en
25.78141248,-80.18802199,en
-6.89949179,107.61851777,id
21.76747811,39.11735279,ar
55.63487609,-4.637927,en
-22.55240578,-47.4254985,pt
43.57106101,-116.16478031,en
-6.3799712,106.7844829,en
29.46150221,-98.54734031,en
-7.74926,111.97127,id
-7.3948516,110.8341881,id
51.45816237,-0.32282023,en
42.86773793,-78.86338039,en
-6.2450367,107.0178129,id
45.0523407,12.0582324,it
28.10199261,-15.49905446,es
-8.0551299,111.9020081,id
-23.487533,-46.677824,pt
41.04987709,29.03094962,tr
-18.8616797,-41.95468604,und
19.4118383,-99.1324585,en
34.0759441,-81.152981,en
41.8520609,12.45364665,it
42.1534203,-8.7218654,es
-16.69753159,-49.23334122,pt
-7.496267,112.7218528,tl
44.981687,-93.2788006,en
-4.60498,119.59015,id
24.50406,39.61252,ar
-23.67320198,-46.51561005,pt
40.4945859,-81.4318099,en
-6.24784377,106.69193182,hu
-5.36217,104.77856,id
-23.49119747,-46.66809055,pt
42.27421853,-83.57165055,en
38.90985898,-75.40490381,en
-3.97223,122.51485,id
-7.37485222,112.68800111,id
-18.92236346,-48.2920229,en
53.06198315,-2.5343732,en
-6.9096975,109.5316111,id
3.60770733,98.68675867,id
51.49595,-0.20364,en
42.20007142,-71.94258583,en
33.9850474,-117.8826119,tr
42.56809901,-71.00979725,en
40.91079433,-73.78058418,en
-6.19693,106.81664,en
31.12360348,-97.94078699,en
-0.2996,100.3661,id
-21.3623172,-45.50528,pt
-23.5571832,-46.7830005,pt
34.0437333,-118.2678311,en
21.463244,39.7945457,ar
-23.48613418,-47.49904583,en
41.09512501,-81.38206222,en
48.79921695,2.45568661,fr
38.72470874,-76.65751595,und
35.4795559,-80.7804814,en
31.32524976,-94.72658372,en
28.3896162,-16.65841,es
40.73383033,-73.98806185,en
19.55774,-70.87706,es
44.01836659,-92.44162954,en
-6.8967292,107.6073373,id
-19.6826713,-44.89345,pt
-34.8768927,-57.8620112,es
51.63116899,39.17808008,ru
-7.54358,112.69812,id
-5.36612944,105.23694889,en
30.44316474,-84.29665674,en
37.8706866,-122.25070953,en
44.9819261,-93.27930864,en
37.56013489,-1.272627,es
-23.516088,-46.617101,en
51.61063633,4.72737175,en
31.352792,27.2295548,ar
45.512249,-122.631047,en
-5.0764,119.54747,id
-6.3461805,106.8014864,id
-5.1404505,119.4825255,id
48.34792514,0.37083347,fr
39.594689,-0.5505992,fr
33.42134495,-111.92053758,no
32.76613,-96.7947394,en
2.02628624,103.34663744,id
-3.01646,104.75559,id
-23.59105767,-48.05555139,pt
39.12329496,-94.82636846,en
4.6550745,-74.1081376,en
52.37711924,-2.21090422,en
0.52443543,101.46866559,id
48.9004269,2.2161148,fr
38.80536958,-77.15911569,und
-5.41255936,105.26810444,id
34.16091197,-81.23458258,en
-14.2429,-54.3878,pt
-22.9149132,-43.261304,pt
41.00776625,28.87068322,tr
33.68238958,-117.9180193,en
-7.79216,112.09867,id
39.84480485,-86.1650635,en
38.25542131,-76.48240048,en
41.2619503,-95.9032874,en
-22.8682421,-48.4367168,pt
37.23547643,-77.19858659,en
33.39033288,-82.03916266,en
45.81128441,3.10726301,en
40.70620099,-89.44630542,en
-7.06937,110.43669,vi
40.3419982,-3.6920247,es
38.77549,-77.20843,en
-6.4724134,106.8629986,id
32.89003043,-96.95803262,en
25.65220406,-100.28644323,pt
0.0,0.0,en
25.0408791,-77.3538216,is
40.7639661,-73.9841095,en
-23.61243386,-46.5940072,pt
42.38221964,-72.53022285,en
-22.835183,-47.163029,pt
40.77407015,-86.6918124,en
45.34909149,-122.60193368,en
18.51304,-69.82006,es
-6.23643,106.84536,id
-30.03406259,-51.22918531,it
13.5578643,144.9248764,en
33.90322986,-84.47041965,en
-7.5379342,111.0036092,vi
36.11110245,-115.31012658,en
19.36651809,-99.20789178,es
-37.1188696,-72.0272504,pt
39.96215068,-75.26015078,en
37.56649446,-122.0229283,en
50.82767915,-0.14127793,en
-37.1741,-62.73156,es
43.16740014,141.77872388,ja
29.63902451,-82.38802694,en
10.1691269,-68.2643121,es
34.67679063,135.59239412,ja
-32.851563,-68.838999,es
-6.22894438,106.72488766,id
